,RestaurantID,Name,Display_photo,Photos
0,MUTTqe8uqyMdBl186RmNeA,Tuna Bar,https://s3-media4.fl.yelpcdn.com/bphoto/zWwgcC178Z0LI09H1Os4jg/o.jpg,"['https://s3-media4.fl.yelpcdn.com/bphoto/zWwgcC178Z0LI09H1Os4jg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/k0Oho5qzxrBqa5qQdsjwJA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/EJds-DChsPTk7b_ZRkJiPQ/o.jpg']"
1,ctHjyadbDQAtUFfkcAFEHw,Zahav,https://s3-media1.fl.yelpcdn.com/bphoto/H52tmZcsqvqiRW9VfY0HXw/o.jpg,"['https://s3-media1.fl.yelpcdn.com/bphoto/H52tmZcsqvqiRW9VfY0HXw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/lhABuTvUNaQ2j7WTiCkAng/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/kDcFA54QB-KLylgXI5tgyQ/o.jpg']"
2,e3fQkykBr9V9jr1g9VWliw,Pho Ga Thanh Thanh,https://s3-media3.fl.yelpcdn.com/bphoto/o70MEO5l_JPNnwubltZEfQ/o.jpg,"['https://s3-media3.fl.yelpcdn.com/bphoto/o70MEO5l_JPNnwubltZEfQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/4LLWB34srtOec8oaav4vSw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/2LIXMaqu_7_4DumhcvnN5Q/o.jpg']"
3,j99PtxlKTW_u5alE4jiqHQ,Ralphs Italian Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/EOmzNsSFgutLMbytT2OV2A/o.jpg,"['https://s3-media4.fl.yelpcdn.com/bphoto/EOmzNsSFgutLMbytT2OV2A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/PfNvKgPUriCpShl-rdYp0A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Hy_Ht8I_HnDjBxk4dHWgMg/o.jpg']"
4,qISf5ojuYbD9h71NumGUQA,Han Dynasty,https://s3-media3.fl.yelpcdn.com/bphoto/fFU7car1ue3B37meKLNHhg/o.jpg,"['https://s3-media3.fl.yelpcdn.com/bphoto/fFU7car1ue3B37meKLNHhg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/8CQ_NOh3MYCJ4uSmBN8PIA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/XyrmUk3vpHQ0WMBMePSu6g/o.jpg']"
5,b1okJ5qEPCIHbIgQ1NGyXQ,La Mula Terca,https://s3-media1.fl.yelpcdn.com/bphoto/Z2OXeHDIj8xzNuahfn5WHg/o.jpg,"['https://s3-media1.fl.yelpcdn.com/bphoto/Z2OXeHDIj8xzNuahfn5WHg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/cbnLKOYTvcmJr6Obig2bpA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/BwlW0aSZVwXVmZBt4Xy6Jw/o.jpg']"
6,EtKSTHV5Qx_Q7Aur9o4kQQ,Village Whiskey,https://s3-media2.fl.yelpcdn.com/bphoto/_hJndwm5Lfr_RaaccDHW7g/o.jpg,"['https://s3-media2.fl.yelpcdn.com/bphoto/_hJndwm5Lfr_RaaccDHW7g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/Rcd9Du5OnXHkJkZkzfz_Tg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/_u1mzRyewTHSXGM_MuQcwA/o.jpg']"
7,l2H2TDEpnAGSi9SG6evqww,Grill N Dutchy,https://s3-media1.fl.yelpcdn.com/bphoto/tdzztliqtYZgAbIa85L8Mw/o.jpg,"['https://s3-media1.fl.yelpcdn.com/bphoto/tdzztliqtYZgAbIa85L8Mw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/MHgBNpLEXGP4PAA8HB3SDg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/WBfX8RxAUGLJu-nv6u1rRw/o.jpg']"
8,j-qtdD55OLfSqfsWuQTDJg,Parc,https://s3-media3.fl.yelpcdn.com/bphoto/0vGzdKssl2CEbecvtOGxHw/o.jpg,"['https://s3-media3.fl.yelpcdn.com/bphoto/0vGzdKssl2CEbecvtOGxHw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/5ln-6zbPyNTCfLt85mffXA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/x5p47ujOqC4uwXdRhdIAUw/o.jpg']"
9,9kYR383I5IumdKEFTAsrxQ,Philly Style Bagels,https://s3-media4.fl.yelpcdn.com/bphoto/XZQTUbVgKG5AE7RkH_HXIg/o.jpg,"['https://s3-media4.fl.yelpcdn.com/bphoto/XZQTUbVgKG5AE7RkH_HXIg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/mTeq0nTFSJ8mIdoOLq-F9w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/X2nLtugeaTZOgkmu1vHOVQ/o.jpg']"
