,RestaurantID,Name,Address,Phone,Rating,Category,Price,url
0,MUTTqe8uqyMdBl186RmNeA,Tuna Bar,"{'address1': '205 Race St', 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19106', 'country': 'US', 'state': 'PA', 'display_address': ['205 Race St', 'Philadelphia, PA 19106'], 'cross_streets': ''}",(215) 238-8862,4,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",$$,https://www.yelp.com/biz/tuna-bar-philadelphia?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
1,ctHjyadbDQAtUFfkcAFEHw,Zahav,"{'address1': '237 St James Pl', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19106', 'country': 'US', 'state': 'PA', 'display_address': ['237 St James Pl', 'Philadelphia, PA 19106'], 'cross_streets': ''}",(215) 625-8800,4.5,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",$$$$,https://www.yelp.com/biz/zahav-philadelphia?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
2,e3fQkykBr9V9jr1g9VWliw,Pho Ga Thanh Thanh,"{'address1': '1100 Washington Ave', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19147', 'country': 'US', 'state': 'PA', 'display_address': ['1100 Washington Ave', 'Philadelphia, PA 19147'], 'cross_streets': ''}",(215) 427-0483,4.5,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",$$,https://www.yelp.com/biz/pho-ga-thanh-thanh-philadelphia?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
3,j99PtxlKTW_u5alE4jiqHQ,Ralphs Italian Restaurant,"{'address1': '760 S 9th St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19147', 'country': 'US', 'state': 'PA', 'display_address': ['760 S 9th St', 'Philadelphia, PA 19147'], 'cross_streets': ''}",(215) 627-6011,3.5,"[{'alias': 'italian', 'title': 'Italian'}]",$$,https://www.yelp.com/biz/ralphs-italian-restaurant-philadelphia?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
4,qISf5ojuYbD9h71NumGUQA,Han Dynasty,"{'address1': '123 Chestnut St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19106', 'country': 'US', 'state': 'PA', 'display_address': ['123 Chestnut St', 'Philadelphia, PA 19106'], 'cross_streets': ''}",(215) 922-1888,4,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]",$$,https://www.yelp.com/biz/han-dynasty-philadelphia?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
5,b1okJ5qEPCIHbIgQ1NGyXQ,La Mula Terca,"{'address1': '2053 S Beechwood St', 'address2': None, 'address3': None, 'city': 'Philadelphia', 'zip_code': '19145', 'country': 'US', 'state': 'PA', 'display_address': ['2053 S Beechwood St', 'Philadelphia, PA 19145'], 'cross_streets': ''}",(267) 761-5194,4.5,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'soup', 'title': 'Soup'}]",$$,https://www.yelp.com/biz/la-mula-terca-philadelphia?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
6,EtKSTHV5Qx_Q7Aur9o4kQQ,Village Whiskey,"{'address1': '118 S 20th St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19103', 'country': 'US', 'state': 'PA', 'display_address': ['118 S 20th St', 'Philadelphia, PA 19103'], 'cross_streets': ''}",(215) 665-1088,4,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",$$,https://www.yelp.com/biz/village-whiskey-philadelphia?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
7,l2H2TDEpnAGSi9SG6evqww,Grill N Dutchy,"{'address1': '5522 Germantown Ave', 'address2': None, 'address3': None, 'city': 'Philadelphia', 'zip_code': '19144', 'country': 'US', 'state': 'PA', 'display_address': ['5522 Germantown Ave', 'Philadelphia, PA 19144'], 'cross_streets': ''}",(215) 849-3500,4.5,"[{'alias': 'caribbean', 'title': 'Caribbean'}]",,https://www.yelp.com/biz/grill-n-dutchy-philadelphia?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
8,j-qtdD55OLfSqfsWuQTDJg,Parc,"{'address1': '227 S 18th St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19103', 'country': 'US', 'state': 'PA', 'display_address': ['227 S 18th St', 'Philadelphia, PA 19103'], 'cross_streets': ''}",(215) 545-2262,4,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",$$$,https://www.yelp.com/biz/parc-philadelphia-2?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
9,9kYR383I5IumdKEFTAsrxQ,Philly Style Bagels,"{'address1': '1451 E Columbia Ave', 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19125', 'country': 'US', 'state': 'PA', 'display_address': ['1451 E Columbia Ave', 'Philadelphia, PA 19125'], 'cross_streets': ''}",(000)000-0000,4,"[{'alias': 'bagels', 'title': 'Bagels'}]",$$,https://www.yelp.com/biz/philly-style-bagels-philadelphia-3?adjust_creative=_U1xfxPia8AwCYodf0zevg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_U1xfxPia8AwCYodf0zevg
