OBJECTID,CODE,COD,Shape__Area,Shape__Length,Zip Alias
1,19120,20,91779697.37,49921.54406,Olney
2,19121,21,69598787,39534.88722,Brewerytown
3,19122,22,35916319.08,24124.64522,Olde Kensington/Fishtown
4,19123,23,35851751.46,26421.72898,Northern Liberties/West Poplar/Callowhill
5,19124,24,144808025.3,63658.77042,Frankford/Juniata 
6,19125,25,48226254.44,30113.60454,Kensington/Fishtown
7,19126,26,33066582.13,26114.90064,Oak Lake
8,19127,27,16244292.05,29133.85088,Manayunk
9,19128,28,196350523.5,76282.32843,Roxborough/Wissahickon
10,19102,2,4538804.917,13170.29216,Center City West/Logan Circle
11,19103,3,20680566.8,21810.02486,Center City West/Rittenhouse/Logan Square/Fitler Square
12,19104,4,87855674.62,41867.13737,University City/Powelton/Spruce Hill/Mantua
13,19106,6,26887740.06,21331.98571,Society Hill/Old City
14,19107,7,14867931.18,17492.27614,Washington Square West/Chinatown
15,19109,9,94697.85114,1248.210416,Gayborhood
16,19111,11,145802305.7,68750.20153,Fox Chase/Oxford Circle
17,19112,12,88861621.11,48233.60428,Navy Yard/Marconi Plaza
18,19114,14,158663655.8,58745.71672,Torresdale South/Pennypack
19,19115,15,130504785.7,58802.80411,Bustleton
20,19116,16,145089807.2,54945.6783,Somerton
21,19118,18,88769479.84,43854.27794,Chestnut Hill
22,19119,19,97030626.4,43924.06194,Mount Airy
23,19149,49,65134947.9,38438.54399,Northeast Boulevard/Mayfair
24,19150,50,41759033,27740.9605,Wadsworth/Cedarbrook
25,19151,51,67140815.19,41079.6929,Overbrook
26,19152,52,86720082.91,51045.24564,Rhawnhurst/Lexington Park
27,19153,53,234181108.3,85068.6888,Penrose/Eastwick
28,19154,54,180549268.2,63045.9171,Parkwood/Byberry
29,19129,29,55860840.81,34436.06912,East Falls
30,19130,30,34184914.08,27114.04236,Fairmount/Spring Garden/Francisville
31,19131,31,152844639.7,59742.52961,Wynnefield/West Parkside
32,19132,32,63316437.21,37309.08731,Allegheny West/Strawberry Mansion/Stanton
33,19133,33,34542022.61,24547.14339,Fairhill
34,19134,34,107777126.5,45245.3803,Port Richmond/Harrowgate
35,19135,35,76379601.85,39197.73541,Tacony
36,19136,36,155297827.8,53916.05829,Holmesburg
37,19137,37,81943069.01,42884.86257,Bridesburg
38,19138,38,47914471.09,32242.91457,Germantown East
39,19139,39,49370291.77,36666.18561,West Market/Walnut Hill/Mill Creek
40,19140,40,93089476.41,42623.72745,Nicetown/Tioga/Hunting Park/Franklinville
41,19141,41,51062510.08,34293.71664,Ogontz/Fern Rock
42,19142,42,47377703.71,31857.51617,Elmwood/Paschall
43,19143,43,92221358.44,45160.38271,Cobbs Creek/Kingsessing/SW Schuykill
44,19144,44,94957474.1,45080.27465,Germantown
45,19145,45,143058515.4,58196.988,Greys Ferry/Point Breeze/Newbold/Girard Estates/West Passyunk
46,19146,46,49514362.93,31332.85689,Graduate Hospital/Center City SW
47,19147,47,49743881.65,29555.76502,Queen Village/East Passyunk/Dickinson Narrows/Hawthorne
48,19148,48,133342592.7,45074.58553,Pennsport/Lower Moyamensing/Stadium District
