business_type,category,sub_category
food industry,Afghan,type of cuisine
food industry,African,type of cuisine
food industry,American (New),type of cuisine
food industry,Arabic,type of cuisine
food industry,Argentine,type of cuisine
food industry,Armenian,type of cuisine
food industry,Asian Fusion,type of cuisine
food industry,Australian,type of cuisine
food industry,Austrian,type of cuisine
food industry,Bangladeshi,type of cuisine
food industry,Belgian,type of cuisine
food industry,Brazilian,type of cuisine
food industry,British,type of cuisine
food industry,Burmese,type of cuisine
food industry,Cambodian,type of cuisine
food industry,Cantonese,type of cuisine
food industry,Caribbean,type of cuisine
food industry,Chinese,type of cuisine
food industry,Colombian,type of cuisine
food industry,Cuban,type of cuisine
food industry,Dominican,type of cuisine
food industry,Egyptian,type of cuisine
food industry,Ethiopian,type of cuisine
food industry,Filipino,type of cuisine
food industry,French,type of cuisine
food industry,German,type of cuisine
food industry,Greek,type of cuisine
food industry,Hainan,type of cuisine
food industry,Haitian,type of cuisine
food industry,Hawaiian,type of cuisine
food industry,Himalayan/Nepalese,type of cuisine
food industry,Honduran,type of cuisine
food industry,Hungarian,type of cuisine
food industry,Iberian,type of cuisine
food industry,Indian,type of cuisine
food industry,Indonesian,type of cuisine
food industry,Israeli,type of cuisine
food industry,Italian,type of cuisine
food industry,Japanese,type of cuisine
food industry,Korean,type of cuisine
food industry,Laotian,type of cuisine
food industry,Latin American,type of cuisine
food industry,Lebanese,type of cuisine
food industry,Malaysian,type of cuisine
food industry,Mediterranean,type of cuisine
food industry,Mexican,type of cuisine
food industry,Middle Eastern,type of cuisine
food industry,Modern European,type of cuisine
food industry,Mongolian,type of cuisine
food industry,Moroccan,type of cuisine
food industry,New Mexican Cuisine,type of cuisine
food industry,Pakistani,type of cuisine
food industry,Pan Asian,type of cuisine
food industry,Peruvian,type of cuisine
food industry,Polish,type of cuisine
food industry,Portuguese,type of cuisine
food industry,Poutineries,type of cuisine
food industry,Puerto Rican,type of cuisine
food industry,Russian,type of cuisine
food industry,Salvadoran,type of cuisine
food industry,Sardinian,type of cuisine
food industry,Scandinavian,type of cuisine
food industry,Senegalese,type of cuisine
food industry,Shanghainese,type of cuisine
food industry,Sicilian,type of cuisine
food industry,Singaporean,type of cuisine
food industry,South African,type of cuisine
food industry,Southern,type of cuisine
food industry,Spanish,type of cuisine
food industry,Szechuan,type of cuisine
food industry,Taiwanese,type of cuisine
food industry,Thai,type of cuisine
food industry,Trinidadian,type of cuisine
food industry,Turkish,type of cuisine
food industry,Ukrainian,type of cuisine
food industry,Uzbek,type of cuisine
food industry,Venezuelan,type of cuisine
food industry,Vietnamese,type of cuisine
food industry,Acai Bowls,type of food
food industry,Bagels,type of food
food industry,Bakeries,type of food
food industry,Barbeque,type of food
food industry,Bars,type of food
food industry,Bed & Breakfast,type of food
food industry,Bistros,type of food
food industry,Breakfast & Brunch,type of food
food industry,Breweries,type of food
food industry,Bubble Tea,type of food
food industry,Buffets,type of food
food industry,Burgers,type of food
food industry,Cafes,type of food
food industry,Cajun/Creole,type of food
food industry,Cheesesteaks,type of food
food industry,Chicken Shop,type of food
food industry,Chicken Wings,type of food
food industry,Cocktail Bars,type of food
food industry,Coffee & Tea,type of food
food industry,Comfort Food,type of food
food industry,Creperies,type of food
food industry,Cupcakes,type of food
food industry,Delis,type of food
food industry,Desserts,type of food
food industry,Dim Sum,type of food
food industry,Diners,type of food
food industry,Donuts,type of food
food industry,Empanadas,type of food
food industry,Ethnic Food,type of food
food industry,Falafel,type of food
food industry,Fast Food,type of food
food industry,Fish & Chips,type of food
food industry,Food Court,type of food
food industry,Food Trucks,type of food
food industry,Fruits & Veggies,type of food
food industry,Gastropubs,type of food
food industry,Gelato,type of food
food industry,Halal,type of food
food industry,Hot Dogs,type of food
food industry,Hot Pot,type of food
food industry,Ice Cream & Frozen Yogurt,type of food
food industry,Internet Cafes,type of food
food industry,Irish Pub,type of food
food industry,Japanese Curry,type of food
food industry,Juice Bars & Smoothies,type of food
food industry,Kosher,type of food
food industry,Macarons,type of food
food industry,Noodles,type of food
food industry,Pizza,type of food
food industry,Pretzels,type of food
food industry,Pubs,type of food
food industry,Ramen,type of food
food industry,Restaurants,type of food
food industry,Salad,type of food
food industry,Sandwiches,type of food
food industry,Seafood,type of food
food industry,Smokehouse,type of food
food industry,Soul Food,type of food
food industry,Soup,type of food
food industry,Specialty Food,type of food
food industry,Steakhouses,type of food
food industry,Sushi Bars,type of food
food industry,Tacos,type of food
food industry,Tapas Bars,type of food
food industry,Tapas/Small Plates,type of food
food industry,Tea Rooms,type of food
food industry,Teppanyaki,type of food
food industry,Tex-Mex,type of food
food industry,Vegan,type of food
food industry,Vegetarian,type of food
food industry,Waffles,type of food
Other,& Probates,other
Other,3D Printing,other
Other,Accessories,other
Other,Accountants,other
Other,Acne Treatment,other
