"name","address","city","state","zip_code","latitude","longitude","rating","review_count","is_open","categories"
"St Honore Pastries","935 Race St","Philadelphia","PA","19107",39.9555052,-75.1555641,4,80,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries"
"Tuna Bar","205 Race St","Philadelphia","PA","19106",39.953949,-75.1432262,4,245,1,"Sushi Bars, Restaurants, Japanese"
"BAP","1224 South St","Philadelphia","PA","19147",39.943223,-75.162568,4.5,205,1,"Korean, Restaurants"
"Craft Hall","901 N Delaware Ave","Philadelphia","PA","19123",39.9625821,-75.1356571,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants"
"ReAnimator Coffee","1523 E Susquehanna Ave","Philadelphia","PA","19125",39.9764555,-75.1270254,4,105,1,"Food, Coffee & Tea"
"Red Hook Coffee & Tea","765 S 4th St","Philadelphia","PA","19147",39.9385518,-75.1496356,4.5,183,1,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea"
"Baltic Bakery","2609 Edgemont St","Philadelphia","PA","19125",39.9768798,-75.1161695,4.5,12,1,"Food, Bakeries, Restaurants"
"Brown Sugar Bakery & Cafe","219 S 52nd St","Philadelphia","PA","19139",39.9563959,-75.2253784,4.5,66,1,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes"
"Federal Donuts","2101 Pennsylvania Ave","Philadelphia","PA","19130",39.963042,-75.1741858944,4.5,11,1,"Sandwiches, Chicken Wings, Restaurants, Donuts, Food"
"The Love","130 S 18th St","Philadelphia","PA","19103",39.9506555,-75.1708991,4,618,1,"Restaurants, American (New), Breakfast & Brunch, Burgers"
"Jong Ka Jib","6600 N 5th St","Philadelphia","PA","19126",40.0520643,-75.1273939,4.5,351,1,"Korean, Restaurants"
"Marcie Blaine","108 S 13th St","Philadelphia","PA","19107",39.950036,-75.162158,3.5,8,1,"Desserts, Specialty Food, Food, Chocolatiers & Shops"
"The Twisted Tail","509 S 2nd St","Philadelphia","PA","19147",39.9418766,-75.1451988,4,604,1,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants"
"Chick-fil-A","9711 Roosevelt Blvd","Philadelphia","PA","19114",40.08178,-75.0267907,4,80,1,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch"
"NY Bagel & Deli Shop","1120 Buttonwood St","Philadelphia","PA","19123",39.960811,-75.1573883,4,31,1,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis"
"The Royal Indian Cuisine","272 S 20th St","Philadelphia","PA","19103",39.948365,-75.1744997,4,28,1,"Restaurants, Indian"
"Cedar Park Cafe","4914 Baltimore Ave","Philadelphia","PA","19143",39.94796,-75.22198,4,301,1,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian"
"Edible Arrangements","6153 Ridge Ave, Unit A","Philadelphia","PA","19128",40.035169,-75.216409,3.5,10,1,"Flowers & Gifts, Specialty Food, Shopping, Food, Florists, Gift Shops, Chocolatiers & Shops"
"The Coventry Deli","2000 Market St","Philadelphia","PA","19103",39.953291,-75.173645,4,65,1,"Restaurants, Delis, Salad, Sandwiches"
"Sean Thorntons Public House","2401 E Allegheny Ave","Philadelphia","PA","19134",39.988107,-75.105553,3.5,6,1,"Food, Nightlife, Restaurants, Irish Pub, Bars, Irish, Pubs, Beer, Wine & Spirits, Event Planning & Services, Gastropubs, Caterers"
"Flambo Caribbean Restaurant","820 N Broad St","Philadelphia","PA","19130",39.9686973,-75.1606146,4.5,138,1,"Trinidadian, Caribbean, Restaurants, Seafood"
"Wawa","3744 Spruce St","Philadelphia","PA","19104",39.9510885597,-75.1989988336,3.5,50,1,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches"
